Country,GDP,Population: Labor force participation (%),Population,Unemployment rate,Tax revenue (%),Total tax rate,CPI,CPI Change (%),Fertility Rate,Birth Rate,Life expectancy,Gross primary education enrollment (%),Gross tertiary education enrollment (%),Out of pocket health expenditure,GDP per Capita
San Marino,1637931034.0,,33860.0,,0.18100000000000002,0.36200000000000004,110.63,0.01,1.26,6.8,85.4,1.081,0.425,0.183,48373.6277023036
S�����������,429016605.0,0.578,215056.0,0.13369999999999999,0.146,0.37,185.09,0.079,4.32,31.54,70.2,1.068,0.134,0.11699999999999999,1994.9064662227513
Saudi Arabia,792966838162.0,0.5589999999999999,34268528.0,0.0593,0.08900000000000001,0.157,118.4,-0.012,2.32,17.8,75.0,0.998,0.68,0.15,23139.798656131363
Senegal,23578084052.0,0.457,16296364.0,0.066,0.163,0.44799999999999995,109.25,0.018000000000000002,4.63,34.52,67.7,0.81,0.128,0.442,1446.8309649931728
Serbia,51409167351.0,0.5489999999999999,6944975.0,0.12689999999999999,0.18600000000000003,0.366,144,0.018000000000000002,1.49,9.2,75.5,1.003,0.672,0.406,7402.354558655718
Seychelles,1698843063.0,,97625.0,,0.341,0.301,129.96,0.018000000000000002,2.41,17.1,72.8,1.004,0.171,0.025,17401.72151600512
Sierra Leone,3941474311.0,0.579,7813215.0,0.0443,0.086,0.307,234.16,0.14800000000000002,4.26,33.41,54.3,1.128,0.02,0.382,504.4625433960284
Singapore,372062527489.0,0.705,5703569.0,0.041100000000000005,0.131,0.21,114.41,0.006,1.14,8.8,83.1,1.006,0.848,0.36700000000000005,65233.28243929371
Slovakia,105422304976.0,0.595,5454073.0,0.0556,0.187,0.49700000000000005,115.34,0.027000000000000003,1.52,10.6,77.2,0.987,0.466,0.184,19329.0968008679
Slovenia,53742159517.0,0.584,2087946.0,0.042,0.18600000000000003,0.31,111.05,0.016,1.6,9.4,81.0,1.004,0.7859999999999999,0.125,25739.247814359183
Solomon Islands,1425074226.0,0.838,669823.0,0.0058,0.295,0.32,133.06,0.016,4.4,32.44,72.8,1.062,,0.033,2127.5385079341854
Somalia,4720727278.0,0.474,15442905.0,0.11349999999999999,0.0,,,,6.07,41.75,57.1,0.23399999999999999,0.025,,305.689070676793
South Africa,351431649241.0,0.56,58558270.0,0.2818,0.275,0.292,158.93,0.040999999999999995,2.41,20.51,63.9,1.0090000000000001,0.22399999999999998,0.077,6001.400813941395
South Korea,2029000000000.0,0.63,51709098.0,0.0415,0.156,0.332,115.16,0.004,0.98,6.4,82.6,0.981,0.943,0.368,39238.74286107253
